2023-12-24 20:11:26.969,9128283H1,98-316,1000000,2000000,BID,99-002,1000000,2000000,OFFER
2023-12-24 20:11:26.969,9128283H1,98-317,2000000,4000000,BID,99-003,2000000,4000000,OFFER
2023-12-24 20:11:26.969,9128283H1,99-001,1000000,2000000,BID,99-003,1000000,2000000,OFFER
2023-12-24 20:11:26.969,9128283H1,99-001,2000000,4000000,BID,99-005,2000000,4000000,OFFER
2023-12-24 20:11:26.969,9128283H1,99-002,1000000,2000000,BID,99-006,1000000,2000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-004,2000000,4000000,BID,99-006,2000000,4000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-004,1000000,2000000,BID,99-010,1000000,2000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-006,2000000,4000000,BID,99-010,2000000,4000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-006,1000000,2000000,BID,99-012,1000000,2000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-010,2000000,4000000,BID,99-012,2000000,4000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-011,1000000,2000000,BID,99-013,1000000,2000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-012,2000000,4000000,BID,99-014,2000000,4000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-013,1000000,2000000,BID,99-015,1000000,2000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-013,2000000,4000000,BID,99-017,2000000,4000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-014,1000000,2000000,BID,99-020,1000000,2000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-016,2000000,4000000,BID,99-020,2000000,4000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-016,1000000,2000000,BID,99-022,1000000,2000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-020,2000000,4000000,BID,99-022,2000000,4000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-021,1000000,2000000,BID,99-023,1000000,2000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-022,2000000,4000000,BID,99-024,2000000,4000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-023,1000000,2000000,BID,99-025,1000000,2000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-023,2000000,4000000,BID,99-027,2000000,4000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-024,1000000,2000000,BID,99-030,1000000,2000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-026,2000000,4000000,BID,99-030,2000000,4000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-027,1000000,2000000,BID,99-031,1000000,2000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-027,2000000,4000000,BID,99-033,2000000,4000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-031,1000000,2000000,BID,99-033,1000000,2000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-032,2000000,4000000,BID,99-034,2000000,4000000,OFFER
2023-12-24 20:11:26.970,9128283H1,99-032,1000000,2000000,BID,99-036,1000000,2000000,OFFER
2023-12-24 20:11:26.971,9128283H1,99-033,2000000,4000000,BID,99-037,2000000,4000000,OFFER
2023-12-24 20:11:26.971,9128283H1,99-035,1000000,2000000,BID,99-037,1000000,2000000,OFFER
